first_name,last_name,middle_name,suffix,specialty,department,room_number,local_number,login_email,hmo_1,hmo_2,hmo_3,hmo_4,hmo_5,hmo_6,hmo_7,hmo_8,hmo_9,hmo_10,f2f_mon_am_start,f2f_mon_am_end,f2f_mon_pm_start,f2f_mon_pm_end,f2f_tue_am_start,f2f_tue_am_end,f2f_tue_pm_start,f2f_tue_pm_end,f2f_wed_am_start,f2f_wed_am_end,f2f_wed_pm_start,f2f_wed_pm_end,f2f_thu_am_start,f2f_thu_am_end,f2f_thu_pm_start,f2f_thu_pm_end,f2f_fri_am_start,f2f_fri_am_end,f2f_fri_pm_start,f2f_fri_pm_end,f2f_sat_am_start,f2f_sat_am_end,f2f_sat_pm_start,f2f_sat_pm_end,tele_mon_am_start,tele_mon_am_end,tele_mon_pm_start,tele_mon_pm_end,tele_tue_am_start,tele_tue_am_end,tele_tue_pm_start,tele_tue_pm_end,tele_wed_am_start,tele_wed_am_end,tele_wed_pm_start,tele_wed_pm_end,tele_thu_am_start,tele_thu_am_end,tele_thu_pm_start,tele_thu_pm_end,tele_fri_am_start,tele_fri_am_end,tele_fri_pm_start,tele_fri_pm_end,tele_sat_am_start,tele_sat_am_end,tele_sat_pm_start,tele_sat_pm_end,password
Ronaldo,Romero,Flores,,Gastroenterology,Gastroenterology,Hall A 402,4002,synth1@ammc.com,Health Plan Philippines Inc. (HPPI),Insular Health Care (I-Care),EastWest Healthcare,Flexicare,,,,,,,09:30,12:00,,,,,12:00,17:00,,,,,,,,,10:00,11:00,12:00,14:00,,,,,,,,,,,,,,,12:00,14:00,10:00,12:00,12:00,16:00,,,,,,,15:00,14:00,clinicuser977
Rosario,Co,,,Anesthesiology,Anesthesiology,Hall B 474,4074,synth2@ammc.com,"Value Care Health Systems, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,10:00,12:00,12:00,17:00,09:30,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin935
Victorino,Dela Torre,Reyes,,Anesthesiology,Anesthesiology,Hall B 452,4052,synth3@ammc.com,"AMAPhil, Inc.",,,,,,,,,,,,,,,,,,,,,,09:00,12:00,,,,,,,09:30,12:00,12:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser905
Ramon,Dela Vega,Cruz,,Medicine,Medicine,Hall A 289,2089,synth4@ammc.com,GetWell Health Systems Inc.,Cooperative Health Management Federation,EastWest Healthcare,eTIQA (formerly AsianLife),Health Plan Philippines Inc. (HPPI),"Optimum Medical & Healthcare Services, Inc.",Caritas Health Shield,Medicard,"Life & Health HMP, Inc.",,10:00,11:00,12:00,17:00,,,,,09:00,12:00,12:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin702
Paz,Garcia,Bautista,,Infectious Diseases,Infectious Diseases,Hall C 423,4023,synth5@ammc.com,BenLife Insurance Co. Inc.,Health Maintenance Inc. (HMI),"Life & Health HMP, Inc.",,,,,,,,10:00,12:00,12:00,14:00,09:30,11:00,,,10:00,11:00,14:00,17:00,10:00,12:00,14:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testaccount184
Celestino,Castillo,Ocampo,,Obstetrics & Gynecology,Obstetrics & Gynecology,Hall C 265,2065,synth6@ammc.com,"Medicare Plus, Inc.",Maxicare,"Life & Health HMP, Inc.","Value Care Health Systems, Inc.",Cooperative Health Management Federation,Wellcare,Carehealth Plus,GetWell Health Systems Inc.,Dynamic Care Corporation,,,,,,09:00,12:00,14:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser876
Jose,Bernardo,Rivera,,Emergency Medicine,Emergency Medicine,Hall A 113,1013,synth7@ammc.com,Pacific Cross Health Care,Cocolife Healthcare,,,,,,,,,10:00,12:00,13:00,17:00,,,,,,,,,,,,,09:30,12:00,13:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin640
Ronaldo,Rivera,Reyes,,Pediatrics,Pediatrics,Hall B 452,4052,synth8@ammc.com,"Fortune Life Insurance Co., Inc.","Optimum Medical & Healthcare Services, Inc.",Maxicare,Medocare,,,,,,,10:00,12:00,,,10:00,12:00,,,,,,,09:30,12:00,,,,,,,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,testaccount816
Ramon,Medina,Garcia,,Otorhinolaryngology,Otorhinolaryngology,Hall A 314,3014,synth9@ammc.com,Health Maintenance Inc. (HMI),Avega Managed Care,"Carewell Health Systems, Inc.",Asalus (formerly Intellicare),,,,,,,,,,,,,15:00,16:00,,,12:00,13:00,,,,,09:30,11:00,12:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword328
Leonidas,Tolentino,Bautista,,Nephrology,Nephrology,Hall B 217,2017,synth10@ammc.com,Health Plan Philippines Inc. (HPPI),"Optimum Medical & Healthcare Services, Inc.",Asalus (formerly Intellicare),Cooperative Health Management Federation,"AMAPhil, Inc.",GetWell Health Systems Inc.,Pacific Cross Health Care,Dynamic Care Corporation,Kaiser International Healthcare Group,,,,,,,,,,09:30,12:00,,,,,,,09:30,11:00,12:00,16:00,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser417
Bernardo,Torres,Garcia,,Medicine,Medicine,Hall A 279,2079,synth11@ammc.com,BenLife Insurance Co. Inc.,"Fortune Life Insurance Co., Inc.",Asalus (formerly Intellicare),Pacific Cross Health Care,Medocare,Kaiser International Healthcare Group,Insular Health Care (I-Care),Cooperative Health Management Federation,Maxicare,,,,,,,,,,10:00,12:00,,,,,,,10:00,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser592
Manuel,Aguilar,Reyes,,Hematology,Hematology,Hall B 575,5075,synth12@ammc.com,Kaiser International Healthcare Group,,,,,,,,,,09:00,12:00,,,,,,,,,,,,,15:00,16:00,10:00,12:00,12:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser311
Paz,Manalo,Santos,,Pulmonary Medicine,Pulmonary Medicine,Hall C 395,3095,synth13@ammc.com,Avega Managed Care,Insular Health Care (I-Care),Cooperative Health Management Federation,Maxicare,"Fortune Life Insurance Co., Inc.","Optimum Medical & Healthcare Services, Inc.",Caritas Health Shield,"Medicare Plus, Inc.",,,,,,,,,12:00,14:00,,,,,,,,,,,,,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,testaccount592
Ricardo,Dela Vega,Cruz,,Anesthesiology,Anesthesiology,Hall B 404,4004,synth14@ammc.com,Cooperative Health Management Federation,"Medicare Plus, Inc.","Life & Health HMP, Inc.",Flexicare,Carehealth Plus,Avega Managed Care,Pacific Cross Health Care,Insular Health Care (I-Care),,,09:30,11:00,,,09:30,12:00,,,09:00,12:00,12:00,17:00,09:30,11:00,12:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword494
Jose,Co,,,Medicine,Medicine,Hall A 204,2004,synth15@ammc.com,"Carewell Health Systems, Inc.",Kaiser International Healthcare Group,"Fortune Life Insurance Co., Inc.",eTIQA (formerly AsianLife),Asalus (formerly Intellicare),,,,,,09:00,12:00,14:00,14:00,,,,,,,,,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword828
Rosario,Evangelista,Aquino,,Ophthalmology,Ophthalmology,Hall B 353,3053,synth16@ammc.com,Health Maintenance Inc. (HMI),,,,,,,,,,,,14:00,17:00,,,,,09:30,12:00,,,,,,,10:00,12:00,,,09:30,12:00,,,,,,,09:00,12:00,15:00,17:00,,,,,10:00,12:00,12:00,17:00,,,,,,,,,testpassword751
Remedios,Mercado,Bautista,,Oncology,Oncology,Hall A 592,5092,synth17@ammc.com,"AMAPhil, Inc.","Optimum Medical & Healthcare Services, Inc.",Caritas Health Shield,"Value Care Health Systems, Inc.","Carewell Health Systems, Inc.",Flexicare,GetWell Health Systems Inc.,Dynamic Care Corporation,BenLife Insurance Co. Inc.,,,,15:00,16:00,,,,,,,,,,,,,,,14:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin953
Natividad,Tolentino,Rivera,,Pulmonary Medicine,Pulmonary Medicine,Hall C 316,3016,synth18@ammc.com,GetWell Health Systems Inc.,"Optimum Medical & Healthcare Services, Inc.",EastWest Healthcare,"Carewell Health Systems, Inc.",Flexicare,Carehealth Plus,Dynamic Care Corporation,Maxicare,"AMAPhil, Inc.",,,,15:00,14:00,,,12:00,14:00,,,,,,,14:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin748
Elena,Torres,Garcia,,Pediatrics,Pediatrics,Hall B 473,4073,synth19@ammc.com,Medocare,Pacific Cross Health Care,"Value Care Health Systems, Inc.",Asalus (formerly Intellicare),"AMAPhil, Inc.","Medicare Plus, Inc.",Health Plan Philippines Inc. (HPPI),Cocolife Healthcare,"Life & Health HMP, Inc.",,09:00,12:00,13:00,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10:00,12:00,,,09:30,12:00,12:00,13:00,10:00,12:00,15:00,13:00,testaccount781
Rosario,Guerrero,Garcia,,Pulmonary Medicine,Pulmonary Medicine,Hall C 337,3037,synth20@ammc.com,EastWest Healthcare,Medocare,Health Plan Philippines Inc. (HPPI),Cocolife Healthcare,Kaiser International Healthcare Group,Flexicare,Pacific Cross Health Care,"Value Care Health Systems, Inc.",Caritas Health Shield,Avega Managed Care,,,12:00,17:00,,,,,,,,,,,,,09:30,12:00,,,,,12:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,testaccount665
Amador,Santos,Garcia,,Neurology,Neurology,Hall B 373,3073,synth21@ammc.com,"AMAPhil, Inc.",,,,,,,,,,,,,,10:00,12:00,12:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser621
Ricardo,Velasquez,Torres,,Gastroenterology,Gastroenterology,Hall A 426,4026,synth22@ammc.com,Cooperative Health Management Federation,Insular Health Care (I-Care),Avega Managed Care,eTIQA (formerly AsianLife),Caritas Health Shield,"AMAPhil, Inc.",Health Plan Philippines Inc. (HPPI),"Carewell Health Systems, Inc.",Maxicare,,09:30,11:00,14:00,17:00,,,15:00,17:00,,,,,,,,,,,12:00,16:00,,,,,,,,,,,,,,,14:00,14:00,09:00,12:00,,,,,,,09:30,12:00,14:00,13:00,clinicuser466
Cecilia,Navarro,Garcia,,Orthopedic Surgery,Orthopedic Surgery,Hall C 564,5064,synth23@ammc.com,Medicard,Carehealth Plus,"Carewell Health Systems, Inc.",Pacific Cross Health Care,Cooperative Health Management Federation,BenLife Insurance Co. Inc.,"Medicare Plus, Inc.",,,,,,,,09:30,12:00,15:00,16:00,,,,,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testaccount895
Ronaldo,Velasquez,Castillo,,Infectious Diseases,Infectious Diseases,Hall C 498,4098,synth24@ammc.com,Asalus (formerly Intellicare),Carehealth Plus,"Fortune Life Insurance Co., Inc.",Avega Managed Care,Medocare,Caritas Health Shield,,,,,,,,,,,,,10:00,12:00,,,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser357
Celestino,Lim,Reyes,,Oncology,Oncology,Hall A 515,5015,synth25@ammc.com,Wellcare,,,,,,,,,,,,,,,,,,09:30,12:00,12:00,16:00,09:00,12:00,14:00,14:00,,,,,,,,,09:00,12:00,14:00,17:00,,,,,,,,,,,,,09:00,12:00,14:00,14:00,10:00,11:00,15:00,17:00,clinicuser594
Remedios,Flores,Ramos,,Surgery,Surgery,Hall B 626,6026,synth26@ammc.com,"Life & Health HMP, Inc.",Insular Health Care (I-Care),Health Maintenance Inc. (HMI),Avega Managed Care,Medicard,Maxicare,,,,,,,,,,,,,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin150
Manuel,Gonzales,Ocampo,,Dermatology,Dermatology,Hall B 329,3029,synth27@ammc.com,Maxicare,"Optimum Medical & Healthcare Services, Inc.",Health Maintenance Inc. (HMI),Insular Health Care (I-Care),EastWest Healthcare,Philcare,Caritas Health Shield,"Value Care Health Systems, Inc.",Avega Managed Care,,,,,,,,,,09:30,12:00,,,,,,,10:00,12:00,12:00,15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin285
Herminia,Garcia,Aquino,,Cardiology,Cardiology,Hall A 207,2007,synth28@ammc.com,Medocare,Philcare,Cooperative Health Management Federation,,,,,,,,,,,,,,15:00,14:00,,,,,,,,,10:00,11:00,,,10:00,12:00,12:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin547
Carla,Salazar,Aquino,,Oncology,Oncology,Hall A 511,5011,synth29@ammc.com,Medocare,BenLife Insurance Co. Inc.,"Medicare Plus, Inc.",Avega Managed Care,Cocolife Healthcare,Carehealth Plus,"Life & Health HMP, Inc.",Dynamic Care Corporation,Wellcare,Cooperative Health Management Federation,,,,,10:00,12:00,15:00,14:00,,,,,,,,,09:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword617
Maricel,Tan,,,Pediatrics,Pediatrics,Hall B 409,4009,synth30@ammc.com,Medicard,Maxicare,,,,,,,,,,,,,,,,,,,,,,,,,10:00,12:00,14:00,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testaccount639
Alfredo,Macaraeg,Rivera,,Endocrinology,Endocrinology,Hall C 317,3017,synth31@ammc.com,Pacific Cross Health Care,Health Plan Philippines Inc. (HPPI),EastWest Healthcare,Medocare,,,,,,,10:00,11:00,12:00,16:00,10:00,12:00,,,,,,,09:30,12:00,12:00,17:00,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser213
Ronaldo,Ocampo,Torres,,Infectious Diseases,Infectious Diseases,Hall C 476,4076,synth32@ammc.com,eTIQA (formerly AsianLife),Asalus (formerly Intellicare),"AMAPhil, Inc.",EastWest Healthcare,"Optimum Medical & Healthcare Services, Inc.",GetWell Health Systems Inc.,Pacific Cross Health Care,"Value Care Health Systems, Inc.",Kaiser International Healthcare Group,Insular Health Care (I-Care),,,,,,,12:00,14:00,,,,,09:30,12:00,14:00,16:00,,,15:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testaccount644
Roberto,Villanueva,,,Neurology,Neurology,Hall B 321,3021,synth33@ammc.com,EastWest Healthcare,,,,,,,,,,,,13:00,16:00,,,,,09:30,12:00,,,,,,,,,,,10:00,12:00,15:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,testaccount480
Ana,Aguilar,Castillo,,Pediatrics,Pediatrics,Hall B 450,4050,synth34@ammc.com,Wellcare,"Optimum Medical & Healthcare Services, Inc.",eTIQA (formerly AsianLife),Philcare,Maxicare,Flexicare,,,,,,,,,,,,,,,12:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword962
Domingo,Dela Vega,Santos,,Hematology,Hematology,Hall B 578,5078,synth35@ammc.com,"Carewell Health Systems, Inc.",eTIQA (formerly AsianLife),Flexicare,"Medicare Plus, Inc.",Pacific Cross Health Care,"Optimum Medical & Healthcare Services, Inc.",Caritas Health Shield,Health Maintenance Inc. (HMI),Avega Managed Care,Medocare,,,,,09:30,12:00,14:00,14:00,,,,,09:30,12:00,12:00,14:00,09:30,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword189
Rosario,Mercado,Reyes,,Surgery,Surgery,Hall B 659,6059,synth36@ammc.com,"Carewell Health Systems, Inc.",Health Maintenance Inc. (HMI),Dynamic Care Corporation,Avega Managed Care,Kaiser International Healthcare Group,EastWest Healthcare,"Optimum Medical & Healthcare Services, Inc.",,,,09:00,12:00,12:00,17:00,,,,,,,,,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin102
Carla,Velasquez,Santos,,Cardiology,Cardiology,Hall A 202,2002,synth37@ammc.com,eTIQA (formerly AsianLife),"Carewell Health Systems, Inc.",Avega Managed Care,Medicard,Flexicare,,,,,,10:00,12:00,12:00,14:00,,,,,,,,,09:30,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin103
Arturo,Santos,Gonzales,,Orthopedic Surgery,Orthopedic Surgery,Hall C 562,5062,synth38@ammc.com,Cocolife Healthcare,GetWell Health Systems Inc.,"Value Care Health Systems, Inc.",Health Plan Philippines Inc. (HPPI),"Fortune Life Insurance Co., Inc.",Philcare,Dynamic Care Corporation,BenLife Insurance Co. Inc.,Maxicare,,,,,,,,,,10:00,12:00,12:00,13:00,10:00,12:00,12:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser425
Antonio,Garcia,Reyes,,Otorhinolaryngology,Otorhinolaryngology,Hall A 346,3046,synth39@ammc.com,Philcare,Asalus (formerly Intellicare),Kaiser International Healthcare Group,EastWest Healthcare,,,,,,,10:00,11:00,,,,,,,09:00,12:00,,,,,,,,,,,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword748
Evelyn,Santiago,Soriano,,Dental Medicine,Dental Medicine,Hall C 105,1005,synth40@ammc.com,"Optimum Medical & Healthcare Services, Inc.",Maxicare,"Carewell Health Systems, Inc.",Kaiser International Healthcare Group,Dynamic Care Corporation,Philcare,Health Plan Philippines Inc. (HPPI),,,,10:00,12:00,15:00,14:00,10:00,12:00,14:00,14:00,,,14:00,14:00,,,,,,,,,10:00,12:00,,,,,,,,,,,,,,,09:00,12:00,,,,,15:00,16:00,,,,,stafflogin644
Paz,Aquino,Garcia,,Orthopedic Surgery,Orthopedic Surgery,Hall C 587,5087,synth41@ammc.com,Cocolife Healthcare,"Value Care Health Systems, Inc.",Carehealth Plus,"AMAPhil, Inc.",BenLife Insurance Co. Inc.,Pacific Cross Health Care,Flexicare,,,,,,,,,,,,,,,,,,,,09:30,12:00,13:00,13:00,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser123
Luz,Santiago,Ramos,,Surgery,Surgery,Hall B 637,6037,synth42@ammc.com,"Carewell Health Systems, Inc.",Kaiser International Healthcare Group,Caritas Health Shield,Health Plan Philippines Inc. (HPPI),Dynamic Care Corporation,"Value Care Health Systems, Inc.",,,,,,,,,10:00,12:00,,,,,,,10:00,12:00,15:00,14:00,10:00,12:00,12:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser559
Filomeno,Tolentino,Torres,,Allergology & Immunology,Allergology & Immunology,Hall A 336,3036,synth43@ammc.com,Medocare,,,,,,,,,,10:00,12:00,,,09:00,12:00,12:00,14:00,,,,,,,,,,,,,10:00,12:00,12:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,testaccount666
Celestino,Dela Cruz,Cruz,,Obstetrics & Gynecology,Obstetrics & Gynecology,Hall C 231,2031,synth44@ammc.com,"Medicare Plus, Inc.",,,,,,,,,,,,,,,,,,,,,,09:30,12:00,14:00,17:00,10:00,12:00,,,10:00,11:00,15:00,16:00,10:00,12:00,,,,,,,10:00,11:00,15:00,17:00,,,,,,,,,,,,,testaccount538
Maricel,Espiritu,,,Nephrology,Nephrology,Hall B 237,2037,synth45@ammc.com,Dynamic Care Corporation,,,,,,,,,,,,,,09:30,12:00,,,10:00,12:00,14:00,17:00,,,,,,,,,09:30,11:00,14:00,16:00,10:00,12:00,,,,,,,,,,,10:00,12:00,15:00,13:00,,,12:00,17:00,,,,,stafflogin435
Miguel,Bautista,Ocampo,,Orthopedic Surgery,Orthopedic Surgery,Hall C 540,5040,synth46@ammc.com,GetWell Health Systems Inc.,Insular Health Care (I-Care),Dynamic Care Corporation,Philcare,Wellcare,"Life & Health HMP, Inc.",eTIQA (formerly AsianLife),"Carewell Health Systems, Inc.","Value Care Health Systems, Inc.",Caritas Health Shield,,,12:00,14:00,,,,,,,,,10:00,12:00,,,,,,,10:00,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser871
Filomeno,Dela Torre,Flores,,Medicine,Medicine,Hall A 264,2064,synth47@ammc.com,Medocare,Caritas Health Shield,"Fortune Life Insurance Co., Inc.",Health Maintenance Inc. (HMI),Cooperative Health Management Federation,Wellcare,"Medicare Plus, Inc.",Cocolife Healthcare,,,,,,,,,,,,,,,,,,,,,,,09:30,12:00,,,09:30,12:00,12:00,13:00,10:00,12:00,,,,,,,,,,,,,,,,,,,testaccount871
Maricel,Mendoza,,,Endocrinology,Endocrinology,Hall C 329,3029,synth48@ammc.com,"Value Care Health Systems, Inc.",EastWest Healthcare,Dynamic Care Corporation,Cocolife Healthcare,Asalus (formerly Intellicare),Medocare,"Carewell Health Systems, Inc.",Medicard,"Fortune Life Insurance Co., Inc.",Wellcare,10:00,12:00,,,,,,,,,,,,,,,,,13:00,16:00,09:30,11:00,14:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,testpassword708
Aida,Santos,Aquino,,Allergology & Immunology,Allergology & Immunology,Hall A 389,3089,synth49@ammc.com,GetWell Health Systems Inc.,Wellcare,Medocare,"Medicare Plus, Inc.",Asalus (formerly Intellicare),,,,,,09:30,12:00,12:00,16:00,,,,,10:00,11:00,15:00,14:00,10:00,11:00,15:00,16:00,09:30,12:00,12:00,14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinicuser374
Roberto,Castillo,,,Gastroenterology,Gastroenterology,Hall A 403,4003,synth50@ammc.com,Health Plan Philippines Inc. (HPPI),Maxicare,"Fortune Life Insurance Co., Inc.",Pacific Cross Health Care,Dynamic Care Corporation,Cooperative Health Management Federation,eTIQA (formerly AsianLife),Cocolife Healthcare,"Value Care Health Systems, Inc.",,,,,,,,,,09:30,12:00,,,,,,,10:00,12:00,14:00,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stafflogin570
Teresita,Marquez,Flores,,Radiology,Radiology,Hall A 266,2066,synth51@ammc.com,Philcare,Health Plan Philippines Inc. (HPPI),"Carewell Health Systems, Inc.",Caritas Health Shield,Asalus (formerly Intellicare),"Medicare Plus, Inc.",Insular Health Care (I-Care),Cooperative Health Management Federation,Medicard,Carehealth Plus,,,15:00,16:00,09:00,12:00,,,10:00,12:00,,,,,,,,,,,09:30,12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,testpassword421
